-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2022 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
GWETROOT        MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2000,-10.25,33.25,23.47,22.57,21.85,21.8,21.07,19.27,18.12,20.41,23.6,25.78,23.77,22.9,22.05
T2M,2000,-10.25,33.75,22.78,22.09,21.23,20.86,19.42,17.76,16.56,18.56,21.77,24.1,23.04,22.39,20.87
T2M,2000,-10.25,34.25,27.18,26.67,25.27,24.81,23.66,22.2,20.91,22.62,25.71,27.79,27.14,26.47,25.03
T2M,2000,-10.25,34.75,25.37,24.94,23.32,22.95,22.22,20.89,19.8,21.57,24.41,26.57,25.45,24.61,23.5
T2M,2000,-10.25,35.25,23.41,23.1,21.46,21.2,20.65,19.41,18.57,20.45,23.06,25.3,23.72,22.73,21.91
T2M,2000,-10.25,35.75,23.54,23.39,21.77,21.64,21.03,19.79,19.03,20.94,23.42,25.6,23.98,22.91,22.25
T2M,2000,-10.75,33.25,23.79,22.94,22.06,22.4,21.57,19.73,18.62,20.75,24.04,26.24,24.4,23.4,22.49
T2M,2000,-10.75,33.75,21.03,20.43,19.65,19.26,17.66,15.98,14.9,16.7,20.14,22.62,21.52,20.81,19.22
T2M,2000,-10.75,34.25,27.25,26.97,25.62,25.01,23.79,22.41,21.15,22.75,25.94,28.1,27.28,26.68,25.24
T2M,2000,-10.75,34.75,26.03,25.72,24.17,23.7,22.88,21.52,20.4,22.1,25.15,27.41,26.45,25.6,24.25
T2M,2000,-10.75,35.25,23.85,23.51,22.01,21.7,20.93,19.64,18.76,20.59,23.57,25.94,24.81,23.76,22.41
T2M,2000,-10.75,35.75,23.5,23.29,21.84,21.66,20.7,19.51,18.75,20.64,23.54,25.89,24.71,23.71,22.3
T2M,2000,-11.25,33.25,23.93,23.14,22.07,22.48,21.52,19.67,18.63,20.61,23.97,26.19,24.73,23.65,22.54
T2M,2000,-11.25,33.75,21.39,20.88,19.98,19.6,17.87,16.25,15.24,16.94,20.53,23.08,22.05,21.25,19.58
T2M,2000,-11.25,34.25,26.92,26.62,25.49,24.89,23.54,22.23,20.92,22.41,25.81,27.91,27.09,26.58,25.02
T2M,2000,-11.25,34.75,26.19,25.82,24.53,23.93,22.76,21.4,20.29,21.91,25.09,27.33,26.58,25.9,24.3
T2M,2000,-11.25,35.25,24.67,24.31,22.89,22.38,21.34,19.98,19.19,21.02,24.05,26.5,25.59,24.69,23.04
T2M,2000,-11.25,35.75,24.58,24.37,22.85,22.47,21.55,20.31,19.7,21.67,24.63,27.14,25.94,24.99,23.34
T2M,2000,-11.75,33.25,23.15,22.38,21.39,21.79,20.67,18.78,17.78,19.58,22.93,25.18,24.01,23.05,21.72
T2M,2000,-11.75,33.75,21.47,21.03,20.14,19.93,17.99,16.39,15.33,16.92,20.32,22.9,22.08,21.42,19.65
T2M,2000,-11.75,34.25,26.74,26.57,25.44,25.09,23.58,22.36,20.9,22.29,25.53,27.64,26.86,26.55,24.95
T2M,2000,-11.75,34.75,26.76,26.49,25.24,24.75,23.51,22.25,21.09,22.67,25.67,27.94,27.07,26.54,24.99
T2M,2000,-11.75,35.25,25.37,25.08,23.76,23.15,22.09,20.79,20.1,21.98,24.79,27.37,26.19,25.37,23.83
T2M,2000,-11.75,35.75,24.65,24.5,23.14,22.51,21.52,20.36,19.93,22.03,24.78,27.5,25.94,25.01,23.48
T2M,2000,-12.25,33.25,22.6,21.79,20.94,21.11,19.77,17.96,17.03,18.73,22.18,24.43,23.24,22.41,21.01
T2M,2000,-12.25,33.75,22.06,21.68,20.74,20.6,18.65,17.16,16.01,17.6,20.98,23.45,22.48,21.89,20.27
