,33.25,33.75,34.25,34.75,35.25,35.75
-16.75,"[-1.67500000e+01  3.32500000e+01  2.50779545e+01  2.02690909e+01
  2.98836364e+01  4.32348485e-01  3.90000000e-01  5.44545455e-01
  2.17621212e+00  6.36363636e-03  1.04081818e+01]","[-1.67500000e+01  3.37500000e+01  2.53299242e+01  2.06890909e+01
  2.99854545e+01  4.66969697e-01  4.30000000e-01  5.60000000e-01
  2.22227273e+00  1.09090909e-02  1.01363636e+01]","[-1.67500000e+01  3.42500000e+01  2.58996212e+01  2.14436364e+01
  3.06672727e+01  5.27121212e-01  4.70000000e-01  6.71818182e-01
  2.18848485e+00  1.45454545e-02  9.23454545e+00]","[-1.67500000e+01  3.47500000e+01  2.60995455e+01  2.16163636e+01
  3.09972727e+01  5.80227273e-01  5.10000000e-01  7.48181818e-01
  2.47750000e+00  1.72727273e-02  1.03609091e+01]","[-1.67500000e+01  3.52500000e+01  2.55239394e+01  2.10154545e+01
  3.04318182e+01  5.99393939e-01  5.11818182e-01  7.93636364e-01
  2.84128788e+00  2.63636364e-02  1.23972727e+01]","[-16.75        35.75        24.53348485  20.05909091  29.30909091
   0.60310606   0.50090909   0.80272727   3.11015152   0.03727273
  13.53272727]"
-16.25,"[-1.62500000e+01  3.32500000e+01  2.56242424e+01  2.07618182e+01
  3.07109091e+01  5.07727273e-01  4.60909091e-01  6.16363636e-01
  2.08106061e+00  8.18181818e-03  9.79636364e+00]","[-1.62500000e+01  3.37500000e+01  2.57660606e+01  2.10036364e+01
  3.08745455e+01  4.99090909e-01  4.50000000e-01  6.06363636e-01
  2.24174242e+00  1.00000000e-02  9.97090909e+00]","[-1.62500000e+01  3.42500000e+01  2.56559091e+01  2.10163636e+01
  3.07836364e+01  5.05757576e-01  4.40909091e-01  6.41818182e-01
  2.19515152e+00  9.09090909e-03  9.59454545e+00]","[-1.62500000e+01  3.47500000e+01  2.51819697e+01  2.05663636e+01
  3.03590909e+01  5.83863636e-01  5.00000000e-01  7.53636364e-01
  2.82363636e+00  1.54545455e-02  1.16363636e+01]","[-1.62500000e+01  3.52500000e+01  2.39295455e+01  1.93290909e+01
  2.89390909e+01  6.61212121e-01  5.52727273e-01  8.54545455e-01
  3.42340909e+00  2.90909091e-02  1.41090909e+01]","[-16.25        35.75        22.59931818  18.00909091  27.29454545
   0.69075758   0.56545455   0.87909091   3.70393939   0.04181818
  15.06727273]"
-15.75,"[-1.57500000e+01  3.32500000e+01  2.52256818e+01  2.02145455e+01
  3.05527273e+01  5.13939394e-01  4.60909091e-01  6.32727273e-01
  2.17946970e+00  7.27272727e-03  1.04463636e+01]","[-1.57500000e+01  3.37500000e+01  2.48108333e+01  1.98054545e+01
  3.02009091e+01  5.10606061e-01  4.40000000e-01  6.37272727e-01
  2.52840909e+00  1.09090909e-02  1.09236364e+01]","[-1.57500000e+01  3.42500000e+01  2.37308333e+01  1.88281818e+01
  2.88881818e+01  5.47878788e-01  4.66363636e-01  6.75454545e-01
  2.54045455e+00  1.00000000e-02  1.11063636e+01]","[-1.57500000e+01  3.47500000e+01  2.33112121e+01  1.84863636e+01
  2.84354545e+01  6.05909091e-01  5.04545455e-01  7.61818182e-01
  3.15439394e+00  1.54545455e-02  1.34327273e+01]","[-1.57500000e+01  3.52500000e+01  2.26690909e+01  1.79372727e+01
  2.75736364e+01  6.75151515e-01  5.53636364e-01  8.54545455e-01
  3.68553030e+00  2.36363636e-02  1.51390909e+01]","[-1.57500000e+01  3.57500000e+01  2.19038636e+01  1.72363636e+01
  2.64818182e+01  7.16287879e-01  5.86363636e-01  8.98181818e-01
  3.88598485e+00  3.00000000e-02  1.54454545e+01]"
-15.25,"[-1.52500000e+01  3.32500000e+01  2.42987879e+01  1.91909091e+01
  2.97690909e+01  4.83409091e-01  4.10000000e-01  6.20909091e-01
  2.50348485e+00  6.36363636e-03  1.15063636e+01]","[-1.52500000e+01  3.37500000e+01  2.26636364e+01  1.74945455e+01
  2.80572727e+01  6.27954545e-01  5.31818182e-01  7.70000000e-01
  3.00909091e+00  1.00000000e-02  1.28200000e+01]","[-1.52500000e+01  3.42500000e+01  2.08962121e+01  1.58672727e+01
  2.57863636e+01  6.95530303e-01  5.80000000e-01  8.40000000e-01
  3.33113636e+00  1.36363636e-02  1.39972727e+01]","[-1.52500000e+01  3.47500000e+01  2.17519697e+01  1.68745455e+01
  2.66809091e+01  6.94696970e-01  5.75454545e-01  8.53636364e-01
  3.51734848e+00  1.36363636e-02  1.47109091e+01]","[-1.52500000e+01  3.52500000e+01  2.27956818e+01  1.81027273e+01
  2.76763636e+01  6.94166667e-01  5.76363636e-01  8.70909091e-01
  3.52757576e+00  1.36363636e-02  1.51418182e+01]","[-1.52500000e+01  3.57500000e+01  2.29274242e+01  1.83418182e+01
  2.75981818e+01  7.02878788e-01  5.86363636e-01  8.91818182e-01
  3.47696970e+00  1.45454545e-02  1.46827273e+01]"
-14.75,"[-1.47500000e+01  3.32500000e+01  2.29509091e+01  1.78709091e+01
  2.83618182e+01  5.20909091e-01  4.30909091e-01  6.73636364e-01
  2.86939394e+00  5.45454545e-03  1.28500000e+01]","[-1.47500000e+01  3.37500000e+01  2.06267424e+01  1.55336364e+01
  2.56863636e+01  7.14318182e-01  6.04545455e-01  8.65454545e-01
  3.27090909e+00  6.36363636e-03  1.46354545e+01]","[-1.47500000e+01  3.42500000e+01  1.94336364e+01  1.45090909e+01
  2.39954545e+01  7.41136364e-01  6.15454545e-01  8.89090909e-01
  3.59992424e+00  1.18181818e-02  1.59818182e+01]","[-1.47500000e+01  3.47500000e+01  2.15600758e+01  1.68736364e+01
  2.63336364e+01  7.25454545e-01  6.07272727e-01  8.94545455e-01
  3.48287879e+00  1.09090909e-02  1.48063636e+01]","[-1.47500000e+01  3.52500000e+01  2.30846970e+01  1.86354545e+01
  2.80136364e+01  7.07121212e-01  5.95454545e-01  9.02727273e-01
  3.25045455e+00  9.09090909e-03  1.40163636e+01]","[-1.47500000e+01  3.57500000e+01  2.29496970e+01  1.85900000e+01
  2.78090909e+01  6.95606061e-01  5.86363636e-01  9.02727273e-01
  3.12909091e+00  7.27272727e-03  1.44554545e+01]"
-14.25,"[-1.42500000e+01  3.32500000e+01  2.16471970e+01  1.67327273e+01
  2.68054545e+01  6.01666667e-01  5.02727273e-01  7.56363636e-01
  2.97727273e+00  9.09090909e-04  1.31972727e+01]","[-1.42500000e+01  3.37500000e+01  2.01171212e+01  1.52963636e+01
  2.48945455e+01  7.09318182e-01  6.02727273e-01  8.60909091e-01
  3.19545455e+00  1.81818182e-03  1.45136364e+01]","[-1.42500000e+01  3.42500000e+01  2.04900758e+01  1.58000000e+01
  2.50718182e+01  7.09469697e-01  5.99090909e-01  8.60909091e-01
  3.28636364e+00  2.72727273e-03  1.49390909e+01]","[-1.42500000e+01  3.47500000e+01  2.27446212e+01  1.82581818e+01
  2.73654545e+01  6.92954545e-01  5.92727273e-01  8.56363636e-01
  3.14666667e+00  3.63636364e-03  1.37981818e+01]","[-1.42500000e+01  3.52500000e+01  2.33740152e+01  1.90309091e+01
  2.81581818e+01  6.91893939e-01  5.90000000e-01  8.76363636e-01
  3.00946970e+00  4.54545455e-03  1.30163636e+01]","[-1.42500000e+01  3.57500000e+01  2.23254545e+01  1.79618182e+01
  2.73018182e+01  7.01287879e-01  5.90909091e-01  8.99090909e-01
  2.98053030e+00  6.36363636e-03  1.38627273e+01]"
-13.75,"[-13.75        33.25        21.0819697   16.37909091  26.04
   0.65143939   0.54636364   0.81272727   2.84492424   0.
  12.05818182]","[-1.37500000e+01  3.37500000e+01  2.04385606e+01  1.58354545e+01
  2.51418182e+01  7.07803030e-01  5.99090909e-01  8.68181818e-01
  3.06848485e+00  9.09090909e-04  1.32981818e+01]","[-1.37500000e+01  3.42500000e+01  2.33532576e+01  1.89972727e+01
  2.80109091e+01  6.60303030e-01  5.56363636e-01  8.49090909e-01
  3.03719697e+00  9.09090909e-04  1.34100000e+01]","[-1.37500000e+01  3.47500000e+01  2.40559091e+01  1.97236364e+01
  2.86009091e+01  6.67575758e-01  5.69090909e-01  8.50000000e-01
  2.97522727e+00  3.63636364e-03  1.29609091e+01]","[-1.37500000e+01  3.52500000e+01  2.30031061e+01  1.85900000e+01
  2.76318182e+01  6.93863636e-01  5.92727273e-01  8.66363636e-01
  2.95674242e+00  4.54545455e-03  1.30563636e+01]","[-1.37500000e+01  3.57500000e+01  2.17435606e+01  1.72154545e+01
  2.66227273e+01  7.12878788e-01  6.01818182e-01  8.85454545e-01
  3.00946970e+00  6.36363636e-03  1.35636364e+01]"
-13.25,"[-13.25        33.25        21.04363636  16.48        25.88272727
   0.61651515   0.50090909   0.79727273   2.84840909   0.
  12.27      ]","[-1.32500000e+01  3.37500000e+01  2.08596970e+01  1.63763636e+01
  2.54872727e+01  6.84469697e-01  5.66363636e-01  8.55454545e-01
  3.05227273e+00  9.09090909e-04  1.29545455e+01]","[-1.32500000e+01  3.42500000e+01  2.51544697e+01  2.11409091e+01
  2.93727273e+01  6.54393939e-01  5.49090909e-01  8.71818182e-01
  2.96446970e+00  9.09090909e-04  1.31036364e+01]","[-1.32500000e+01  3.47500000e+01  2.43494697e+01  2.02118182e+01
  2.86381818e+01  6.84621212e-01  5.73636364e-01  8.90909091e-01
  3.02507576e+00  2.72727273e-03  1.31463636e+01]","[-1.32500000e+01  3.52500000e+01  2.20612879e+01  1.76627273e+01
  2.65218182e+01  7.20151515e-01  6.01818182e-01  9.00909091e-01
  3.23037879e+00  4.54545455e-03  1.36281818e+01]","[-1.32500000e+01  3.57500000e+01  2.09204545e+01  1.63800000e+01
  2.54854545e+01  7.33409091e-01  6.07272727e-01  8.94545455e-01
  3.43401515e+00  5.45454545e-03  1.43654545e+01]"
-12.75,"[-12.75        33.25        20.92545455  16.46090909  25.57909091
   0.61280303   0.48545455   0.81363636   3.11030303   0.
  13.98272727]","[-1.27500000e+01  3.37500000e+01  2.09689394e+01  1.65809091e+01
  2.53009091e+01  6.62424242e-01  5.41818182e-01  8.22727273e-01
  3.29962121e+00  1.81818182e-03  1.35400000e+01]","[-12.75        34.25        25.38386364  21.59363636  28.94363636
   0.64954545   0.54272727   0.85727273   2.94113636   0.
  12.34272727]","[-1.27500000e+01  3.47500000e+01  2.44107576e+01  2.05518182e+01
  2.82518182e+01  6.90681818e-01  5.74545455e-01  8.94545455e-01
  3.17643939e+00  9.09090909e-04  1.27418182e+01]","[-1.27500000e+01  3.52500000e+01  2.19698485e+01  1.77900000e+01
  2.61718182e+01  7.32727273e-01  6.03636364e-01  9.18181818e-01
  3.66340909e+00  3.63636364e-03  1.42781818e+01]","[-1.27500000e+01  3.57500000e+01  2.07517424e+01  1.63445455e+01
  2.50900000e+01  7.48712121e-01  6.09090909e-01  9.20909091e-01
  4.01121212e+00  3.63636364e-03  1.57818182e+01]"
-12.25,"[-12.25        33.25        20.84378788  16.50636364  25.25454545
   0.60515152   0.46454545   0.81636364   3.38106061   0.
  14.94636364]","[-12.25        33.75        20.26151515  15.96454545  24.13
   0.67893939   0.55636364   0.82090909   3.72560606   0.
  14.49454545]","[-12.25        34.25        25.21674242  21.51727273  28.39181818
   0.67280303   0.55545455   0.87090909   3.54393939   0.
  13.28636364]","[-12.25        34.75        24.95060606  21.24        28.61272727
   0.69530303   0.58181818   0.88818182   3.62833333   0.
  13.65181818]","[-1.22500000e+01  3.52500000e+01  2.30364394e+01  1.90309091e+01
  2.72827273e+01  7.23181818e-01  6.00909091e-01  8.99090909e-01
  3.89568182e+00  1.81818182e-03  1.45845455e+01]","[-1.22500000e+01  3.57500000e+01  2.18831818e+01  1.75981818e+01
  2.63745455e+01  7.41439394e-01  6.07272727e-01  9.12727273e-01
  4.12507576e+00  2.72727273e-03  1.50581818e+01]"
