Date,T2M,GWETROOT,PRECTOTCORR,LAT,LON
2000-01-01,27.53,0.43,5.27,-16.75,33.25
2000-01-01,28.01,0.46,5.27,-16.75,33.75
2000-01-01,28.65,0.51,5.27,-16.75,34.25
2000-01-01,28.97,0.56,5.27,-16.75,34.75
2000-01-01,28.49,0.57,5.27,-16.75,35.25
2000-01-01,27.49,0.57,5.27,-16.75,35.75
2000-01-01,28.11,0.5,5.27,-16.25,33.25
2000-01-01,28.53,0.48,5.27,-16.25,33.75
2000-01-01,28.47,0.49,5.27,-16.25,34.25
2000-01-01,28.08,0.55,5.27,-16.25,34.75
2000-01-01,26.88,0.62,5.27,-16.25,35.25
2000-01-01,25.56,0.64,5.27,-16.25,35.75
2000-01-01,27.62,0.5,5.27,-15.75,33.25
2000-01-01,27.5,0.48,5.27,-15.75,33.75
2000-01-01,26.41,0.52,5.27,-15.75,34.25
2000-01-01,26.11,0.56,5.27,-15.75,34.75
2000-01-01,25.54,0.62,5.27,-15.75,35.25
2000-01-01,24.73,0.66,5.27,-15.75,35.75
2000-01-01,26.6,0.45,5.27,-15.25,33.25
2000-01-01,25.08,0.59,5.27,-15.25,33.75
2000-01-01,23.36,0.65,5.27,-15.25,34.25
2000-01-01,24.3,0.63,5.27,-15.25,34.75
2000-01-01,25.36,0.64,5.27,-15.25,35.25
2000-01-01,25.42,0.65,5.27,-15.25,35.75
2000-01-01,25.12,0.48,5.27,-14.75,33.25
2000-01-01,22.74,0.67,5.27,-14.75,33.75
2000-01-01,21.59,0.7,5.27,-14.75,34.25
2000-01-01,23.66,0.68,5.27,-14.75,34.75
2000-01-01,25.14,0.67,5.27,-14.75,35.25
2000-01-01,25.01,0.66,5.27,-14.75,35.75
2000-01-01,23.59,0.56,5.27,-14.25,33.25
2000-01-01,21.99,0.68,5.27,-14.25,33.75
2000-01-01,22.24,0.69,5.27,-14.25,34.25
2000-01-01,24.45,0.67,5.27,-14.25,34.75
2000-01-01,25.13,0.66,5.27,-14.25,35.25
2000-01-01,24.15,0.67,5.27,-14.25,35.75
2000-01-01,22.85,0.6,5.27,-13.75,33.25
2000-01-01,22.05,0.68,5.27,-13.75,33.75
2000-01-01,24.72,0.64,5.27,-13.75,34.25
2000-01-01,25.51,0.64,5.27,-13.75,34.75
2000-01-01,24.7,0.65,5.27,-13.75,35.25
2000-01-01,23.61,0.66,5.27,-13.75,35.75
2000-01-01,22.77,0.56,5.27,-13.25,33.25
2000-01-01,22.3,0.64,5.27,-13.25,33.75
2000-01-01,26.29,0.63,5.27,-13.25,34.25
2000-01-01,25.69,0.65,5.27,-13.25,34.75
2000-01-01,23.79,0.66,5.27,-13.25,35.25
2000-01-01,22.88,0.67,5.27,-13.25,35.75
2000-01-01,22.64,0.54,5.27,-12.75,33.25
2000-01-01,22.53,0.61,5.27,-12.75,33.75
2000-01-01,26.66,0.61,5.27,-12.75,34.25
2000-01-01,25.78,0.64,5.27,-12.75,34.75
2000-01-01,23.56,0.67,5.27,-12.75,35.25
2000-01-01,22.45,0.68,5.27,-12.75,35.75
2000-01-01,22.6,0.52,5.27,-12.25,33.25
2000-01-01,22.06,0.61,5.27,-12.25,33.75
2000-01-01,26.76,0.62,5.27,-12.25,34.25
2000-01-01,26.49,0.64,5.27,-12.25,34.75
2000-01-01,24.57,0.67,5.27,-12.25,35.25
2000-01-01,23.33,0.69,5.27,-12.25,35.75
2000-01-01,23.15,0.48,5.27,-11.75,33.25
2000-01-01,21.47,0.61,5.27,-11.75,33.75
2000-01-01,26.74,0.65,5.27,-11.75,34.25
2000-01-01,26.76,0.64,5.27,-11.75,34.75
2000-01-01,25.37,0.64,5.27,-11.75,35.25
2000-01-01,24.65,0.68,5.27,-11.75,35.75
2000-01-01,23.93,0.49,5.27,-11.25,33.25
2000-01-01,21.39,0.6,5.27,-11.25,33.75
2000-01-01,26.92,0.64,3.16,-11.25,34.25
2000-01-01,26.19,0.59,4.22,-11.25,34.75
2000-01-01,24.67,0.57,5.27,-11.25,35.25
2000-01-01,24.58,0.61,5.27,-11.25,35.75
2000-01-01,23.79,0.5,5.27,-10.75,33.25
2000-01-01,21.03,0.59,5.27,-10.75,33.75
2000-01-01,27.25,0.62,3.16,-10.75,34.25
2000-01-01,26.03,0.56,4.22,-10.75,34.75
2000-01-01,23.85,0.54,5.27,-10.75,35.25
2000-01-01,23.5,0.56,5.27,-10.75,35.75
2000-01-01,23.47,0.52,4.75,-10.25,33.25
2000-01-01,22.78,0.57,2.64,-10.25,33.75
2000-01-01,27.18,0.59,2.64,-10.25,34.25
2000-01-01,25.37,0.56,4.22,-10.25,34.75
2000-01-01,23.41,0.55,5.27,-10.25,35.25
2000-01-01,23.54,0.56,5.27,-10.25,35.75
2000-01-01,22.75,0.48,4.75,-9.75,33.25
2000-01-01,24.28,0.5,2.64,-9.75,33.75
2000-01-01,23.65,0.51,2.64,-9.75,34.25
2000-01-01,21.94,0.51,4.22,-9.75,34.75
2000-01-01,22.25,0.52,5.27,-9.75,35.25
2000-01-01,24.46,0.52,5.27,-9.75,35.75
2000-01-01,21.06,0.45,5.27,-9.25,33.25
2000-01-01,20.69,0.55,5.27,-9.25,33.75
2000-01-01,19.87,0.49,5.27,-9.25,34.25
2000-01-01,19.62,0.51,5.27,-9.25,34.75
2000-01-01,21.66,0.53,5.27,-9.25,35.25
2000-01-01,25.13,0.51,5.27,-9.25,35.75
2000-02-01,26.23,0.47,5.27,-16.75,33.25
2000-02-01,26.55,0.5,5.27,-16.75,33.75
2000-02-01,27.22,0.57,5.27,-16.75,34.25
2000-02-01,27.6,0.61,5.27,-16.75,34.75
2000-02-01,27.31,0.61,5.27,-16.75,35.25
2000-02-01,26.6,0.6,5.27,-16.75,35.75
2000-02-01,26.91,0.53,5.27,-16.25,33.25
2000-02-01,27.21,0.52,5.27,-16.25,33.75
2000-02-01,27.18,0.53,5.27,-16.25,34.25
2000-02-01,26.79,0.59,5.27,-16.25,34.75
2000-02-01,25.67,0.66,5.27,-16.25,35.25
2000-02-01,24.54,0.68,5.27,-16.25,35.75
2000-02-01,26.55,0.53,5.27,-15.75,33.25
2000-02-01,26.37,0.51,5.27,-15.75,33.75
2000-02-01,25.38,0.55,5.27,-15.75,34.25
2000-02-01,25.01,0.59,5.27,-15.75,34.75
2000-02-01,24.41,0.66,5.27,-15.75,35.25
2000-02-01,23.74,0.7,5.27,-15.75,35.75
2000-02-01,25.51,0.49,5.27,-15.25,33.25
2000-02-01,24.13,0.63,5.27,-15.25,33.75
2000-02-01,22.61,0.69,5.27,-15.25,34.25
2000-02-01,23.38,0.68,5.27,-15.25,34.75
2000-02-01,24.37,0.68,5.27,-15.25,35.25
2000-02-01,24.55,0.7,5.27,-15.25,35.75
2000-02-01,23.94,0.52,5.27,-14.75,33.25
2000-02-01,21.9,0.73,5.27,-14.75,33.75
2000-02-01,21.02,0.76,5.27,-14.75,34.25
2000-02-01,22.92,0.74,5.27,-14.75,34.75
