LAT,LON,T2M_AVERAGE,T2M_MIN,T2M_MAX,GWETROOT_AVERAGE,GWETROOT_MIN,GWETROOT_MAX,PRECTOTCORR_AVERAGE,PRECTOTCORR_MIN,PRECTOTCORR_MAX
-16.75,33.25,25.077954545454546,19.58,31.36,0.43234848484848487,0.39,0.59,2.1762121212121213,0.0,13.13
-16.75,33.75,25.329924242424244,19.76,31.47,0.466969696969697,0.43,0.62,2.222272727272727,0.0,13.18
-16.75,34.25,25.89962121212121,20.33,32.1,0.5271212121212121,0.47,0.8,2.1884848484848485,0.0,12.69
-16.75,34.75,26.099545454545453,20.28,32.32,0.5802272727272727,0.51,0.88,2.4774999999999996,0.0,15.52
-16.75,35.25,25.523939393939393,19.7,31.76,0.5993939393939395,0.51,0.93,2.841287878787879,0.0,18.29
-16.75,35.75,24.53348484848485,18.87,30.74,0.6031060606060606,0.5,0.94,3.1101515151515153,0.0,19.24
-16.25,33.25,25.624242424242425,20.02,32.3,0.5077272727272727,0.46,0.68,2.081060606060606,0.0,13.23
-16.25,33.75,25.766060606060606,20.13,32.47,0.49909090909090903,0.45,0.67,2.2417424242424246,0.0,13.04
-16.25,34.25,25.65590909090909,20.05,32.34,0.5057575757575759,0.44,0.73,2.1951515151515153,0.0,12.79
-16.25,34.75,25.1819696969697,19.41,31.88,0.5838636363636365,0.5,0.85,2.8236363636363633,0.0,15.68
-16.25,35.25,23.929545454545455,18.16,30.46,0.6612121212121213,0.55,0.94,3.423409090909091,0.0,20.57
-16.25,35.75,22.599318181818184,17.03,28.84,0.6907575757575757,0.56,0.96,3.703939393939394,0.0,23.73
-15.75,33.25,25.22568181818182,19.58,32.15,0.5139393939393939,0.46,0.72,2.179469696969697,0.0,15.2
-15.75,33.75,24.810833333333335,19.12,31.84,0.5106060606060606,0.43,0.73,2.528409090909091,0.0,16.64
-15.75,34.25,23.730833333333333,18.04,30.49,0.5478787878787879,0.46,0.78,2.540454545454545,0.0,16.61
-15.75,34.75,23.311212121212122,17.6,30.02,0.605909090909091,0.5,0.85,3.1543939393939393,0.0,17.93
-15.75,35.25,22.66909090909091,17.03,29.07,0.6751515151515152,0.55,0.91,3.685530303030303,0.0,22.15
-15.75,35.75,21.903863636363635,16.46,27.81,0.7162878787878788,0.58,0.96,3.8859848484848487,0.0,23.73
-15.25,33.25,24.29878787878788,18.31,31.26,0.4834090909090909,0.4,0.73,2.503484848484849,0.0,18.07
-15.25,33.75,22.663636363636364,16.71,29.55,0.6279545454545454,0.52,0.87,3.009090909090909,0.0,23.11
-15.25,34.25,20.896212121212123,15.26,27.2,0.695530303030303,0.57,0.93,3.3311363636363636,0.0,25.28
-15.25,34.75,21.7519696969697,16.2,28.02,0.6946969696969697,0.56,0.93,3.517348484848485,0.0,23.7
-15.25,35.25,22.79568181818182,17.36,28.88,0.6941666666666666,0.57,0.93,3.5275757575757574,0.0,21.74
-15.25,35.75,22.927424242424244,17.56,28.61,0.7028787878787879,0.58,0.96,3.4769696969696966,0.0,21.09
-14.75,33.25,22.95090909090909,16.89,29.46,0.520909090909091,0.42,0.75,2.869393939393939,0.0,20.6
-14.75,33.75,20.626742424242423,14.83,26.63,0.7143181818181819,0.6,0.95,3.270909090909091,0.0,29.25
-14.75,34.25,19.433636363636364,14.14,24.77,0.7411363636363636,0.6,0.96,3.5999242424242426,0.0,35.01
-14.75,34.75,21.560075757575756,16.35,27.18,0.7254545454545455,0.6,0.95,3.482878787878788,0.0,30.19
-14.75,35.25,23.084696969696967,17.95,28.86,0.7071212121212122,0.59,0.96,3.2504545454545455,0.0,25.66
-14.75,35.75,22.94969696969697,17.86,28.64,0.6956060606060606,0.58,0.97,3.1290909090909094,0.0,24.6
-14.25,33.25,21.647196969696967,15.63,27.47,0.6016666666666667,0.5,0.84,2.977272727272727,0.0,22.11
-14.25,33.75,20.117121212121212,14.58,25.46,0.7093181818181817,0.6,0.93,3.1954545454545453,0.0,29.12
-14.25,34.25,20.49007575757576,15.26,25.76,0.709469696969697,0.59,0.94,3.2863636363636366,0.0,34.11
-14.25,34.75,22.744621212121213,17.72,28.12,0.6929545454545455,0.59,0.92,3.146666666666667,0.0,29.44
-14.25,35.25,23.374015151515152,18.48,28.97,0.6918939393939394,0.59,0.93,3.009469696969697,0.0,22.0
-14.25,35.75,22.325454545454544,17.25,28.16,0.7012878787878787,0.59,0.96,2.980530303030303,0.0,23.91
-13.75,33.25,21.081969696969697,15.33,26.65,0.6514393939393939,0.54,0.9,2.8449242424242427,0.0,19.15
-13.75,33.75,20.438560606060605,15.09,25.79,0.7078030303030304,0.59,0.93,3.068484848484849,0.0,24.05
-13.75,34.25,23.353257575757578,18.27,28.73,0.6603030303030303,0.55,0.92,3.03719696969697,0.0,25.73
-13.75,34.75,24.055909090909093,19.17,29.41,0.6675757575757576,0.56,0.91,2.975227272727273,0.0,23.45
-13.75,35.25,23.003106060606058,18.13,28.51,0.6938636363636363,0.59,0.94,2.9567424242424245,0.0,18.51
-13.75,35.75,21.74356060606061,16.53,27.53,0.7128787878787879,0.6,0.97,3.009469696969697,0.0,17.66
-13.25,33.25,21.043636363636367,15.45,26.48,0.6165151515151515,0.49,0.9,2.848409090909091,0.0,17.6
-13.25,33.75,20.85969696969697,15.68,26.19,0.684469696969697,0.56,0.93,3.0522727272727272,0.0,21.21
-13.25,34.25,25.154469696969695,20.49,29.99,0.6543939393939393,0.54,0.92,2.964469696969697,0.0,22.02
-13.25,34.75,24.3494696969697,19.63,29.39,0.6846212121212122,0.57,0.94,3.0250757575757574,0.0,20.17
-13.25,35.25,22.06128787878788,17.1,27.37,0.7201515151515152,0.59,0.98,3.230378787878788,0.0,16.64
-13.25,35.75,20.920454545454547,15.83,26.37,0.7334090909090909,0.6,0.98,3.4340151515151516,0.0,17.56
-12.75,33.25,20.925454545454546,15.49,26.26,0.6128030303030303,0.48,0.93,3.1103030303030303,0.0,22.68
-12.75,33.75,20.968939393939394,15.98,26.05,0.6624242424242424,0.53,0.9,3.2996212121212123,0.0,21.35
-12.75,34.25,25.383863636363635,21.02,29.43,0.6495454545454545,0.54,0.92,2.941136363636364,0.0,20.33
-12.75,34.75,24.410757575757575,19.92,28.81,0.6906818181818182,0.57,0.94,3.1764393939393942,0.0,19.38
-12.75,35.25,21.969848484848484,17.09,26.96,0.7327272727272727,0.6,0.98,3.663409090909091,0.0,18.67
-12.75,35.75,20.751742424242423,15.68,25.99,0.7487121212121212,0.6,0.99,4.011212121212122,0.0,20.68
-12.25,33.25,20.84378787878788,15.64,25.98,0.6051515151515151,0.45,0.95,3.3810606060606063,0.0,22.97
-12.25,33.75,20.26151515151515,15.49,24.83,0.678939393939394,0.54,0.89,3.725606060606061,0.0,21.82
-12.25,34.25,25.216742424242426,20.94,28.93,0.6728030303030303,0.55,0.92,3.543939393939394,0.0,21.13
-12.25,34.75,24.95060606060606,20.48,29.12,0.6953030303030303,0.58,0.93,3.6283333333333334,0.0,20.34
-12.25,35.25,23.036439393939393,18.01,28.04,0.7231818181818181,0.6,0.97,3.8956818181818185,0.0,18.91
-12.25,35.75,21.883181818181818,16.6,27.39,0.741439393939394,0.6,0.99,4.1250757575757575,0.0,18.96
-11.75,33.25,21.35098484848485,16.21,26.45,0.5695454545454546,0.42,0.92,3.2874242424242426,0.0,22.02
-11.75,33.75,19.56742424242424,14.75,24.08,0.7019696969696969,0.54,0.94,3.768560606060606,0.0,21.49
-11.75,34.25,25.052348484848483,20.67,29.03,0.7212878787878787,0.58,0.97,3.897575757575758,0.0,21.32
-11.75,34.75,24.897121212121213,20.21,29.19,0.6934090909090909,0.56,0.95,3.789924242424242,0.0,20.99
-11.75,35.25,23.49530303030303,18.28,28.62,0.6927272727272727,0.57,0.96,3.752348484848485,0.0,19.96
-11.75,35.75,23.02166666666667,17.55,28.76,0.7240909090909091,0.6,0.99,3.8112878787878786,0.0,18.52
-11.25,33.25,22.08280303030303,16.82,27.56,0.566969696969697,0.43,0.84,3.253257575757576,0.0,20.29
-11.25,33.75,19.427424242424244,14.44,24.33,0.7057575757575757,0.53,0.97,3.7247727272727276,0.0,20.87
-11.25,34.25,25.02492424242424,20.43,29.22,0.7160606060606061,0.57,0.97,3.498030303030303,0.0,18.8
-11.25,34.75,24.11098484848485,19.22,28.56,0.6580303030303031,0.51,0.95,3.544469696969697,0.0,20.0
-11.25,35.25,22.58628787878788,17.25,27.74,0.6433333333333333,0.49,0.96,3.7388636363636363,0.0,20.6
-11.25,35.75,22.70371212121212,17.21,28.34,0.6753030303030303,0.53,0.97,3.8718181818181816,0.0,21.73
-10.75,33.25,21.97681818181818,16.57,27.59,0.5908333333333333,0.45,0.87,3.388863636363636,0.0,19.4
-10.75,33.75,19.054545454545455,14.1,23.93,0.7035606060606061,0.52,0.98,3.8654545454545457,0.0,20.15
-10.75,34.25,25.209545454545452,20.48,29.51,0.6681818181818182,0.54,0.91,2.8512121212121215,0.0,15.06
-10.75,34.75,24.040075757575757,18.99,28.83,0.6170454545454546,0.46,0.93,3.298787878787879,0.0,18.2
-10.75,35.25,21.972121212121213,16.54,27.08,0.6192424242424241,0.43,0.97,4.042727272727273,0.0,22.24
-10.75,35.75,21.684242424242427,16.21,26.98,0.6481818181818182,0.45,0.97,4.356590909090909,0.0,25.18
-10.25,33.25,21.644848484848485,16.34,27.1,0.6137878787878788,0.46,0.93,3.3257575757575757,0.0,18.19
-10.25,33.75,20.679318181818182,15.72,25.56,0.6881818181818182,0.5,0.98,3.9553030303030305,0.0,18.89
-10.25,34.25,24.999166666666667,20.22,29.4,0.6442424242424243,0.53,0.89,2.9078787878787877,0.0,14.16
-10.25,34.75,23.34090909090909,18.29,28.2,0.6328787878787879,0.47,0.93,3.7143939393939394,0.0,19.51
-10.25,35.25,21.62151515151515,16.29,26.7,0.6448484848484849,0.43,0.99,4.4125000000000005,0.0,22.68
-10.25,35.75,21.848787878787878,16.55,26.71,0.6487121212121212,0.44,0.99,4.309621212121212,0.0,21.71
-9.75,33.25,20.56712121212121,15.37,25.81,0.6053030303030303,0.42,0.97,3.428181818181818,0.0,18.02
-9.75,33.75,21.747803030303032,16.47,26.84,0.6552272727272727,0.45,0.98,4.159848484848485,0.0,17.14
-9.75,34.25,21.563484848484848,16.77,25.77,0.6077272727272727,0.46,0.87,4.117272727272727,0.0,17.93
-9.75,34.75,19.957954545454545,15.1,24.17,0.6578030303030303,0.44,0.93,5.018181818181818,0.0,23.2
-9.75,35.25,20.376287878787878,15.55,24.87,0.6770454545454546,0.43,0.99,4.920378787878788,0.0,23.2
-9.75,35.75,22.657045454545454,17.93,27.35,0.6273484848484848,0.43,0.98,3.8259090909090907,0.0,17.93
-9.25,33.25,18.992575757575757,14.14,23.82,0.6145454545454546,0.39,0.96,3.7703030303030305,0.0,18.88
-9.25,33.75,18.62121212121212,13.82,22.74,0.7303030303030303,0.5,0.99,4.607954545454546,0.0,18.46
-9.25,34.25,18.37,14.07,22.17,0.619621212121212,0.42,0.87,4.692954545454546,0.0,20.57
-9.25,34.75,17.89840909090909,13.52,21.52,0.6862121212121212,0.43,0.94,5.685151515151515,0.0,23.46
-9.25,35.25,19.644469696969697,15.31,23.51,0.7156818181818182,0.46,1.0,5.410984848484849,0.0,23.99
-9.25,35.75,22.98818181818182,18.47,27.29,0.6357575757575757,0.45,0.98,3.9114393939393937,0.0,18.81
